Text	Category
Musluktan bulanık su akıyor. Konutların bulunduğu mahallede evlerdeki musluklardan sarı ve bulanık su geliyor. Şebeke hattının ve su kalitesinin kontrol edilmesini talep ediyoruz. Vatandaşlar temel ihtiyaçlarını karşılamakta zorlanıyor.	İçme Suyu ve Şebeke
Arsa beton parçalarıyla dolu. İnşaat sahasının çevresinde evsel çöpten farklı inşaat ve yıkım atıkları bulunuyor. İzinsiz döküm yapanların tespit edilmesini rica ediyoruz. Yaya ve araç geçişi ile çevre güvenliği olumsuz etkileniyor.	Hafriyat Atığı
Tanıtım çalışmasına destek istenmesi. Yanlış, eksik veya geç bilgilendirme vatandaşlarda karışıklık oluşturuyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Duyuru ve Tanıtım
Kanalizasyon hattı tıkalı. Yaya ve araç trafiğinin bulunduğu noktada lavabo ve giderlerde geri tepme yaşanıyor. Ekiplerin yerinde inceleme yaparak kapağı ve hattı güvenli hâle getirmesini rica ediyoruz. Bu sorun yağmur suyu mazgalından değil, kanalizasyon ve atık su hattından kaynaklanıyor.	Kanalizasyon, Rögar ve Atık Su
Çaldıran tarafında aile için hassas ve zaman kritik olan başvuruda mezar yeri belgesinin sorulması konusu çözüm bekliyor. Son günlerde sorun belirgin biçimde arttı. Süreç geciktiği için aile büyük bir belirsizlik ve mağduriyet yaşıyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Aileye süreç, belge ve zamanlama hakkında açık bilgi verilmesini talep ediyoruz.	Defin ve Mezarlık İşlemleri
Başvurumuz zaman kaybının riski artırdığı olayda görülen boş arazide alevlerin yayılması hakkındadır. Olay çevredeki kişilere ve yapılara hızla yayılabilecek tehlike oluşturuyor. Acil ekibin derhal olay yerine yönlendirilmesini istiyoruz.	Yangın
Muradiye ilçesinde telefon ve bilgisayardan tekrar edilen işlemde mobil uygulamanın hata vermesi. Yaklaşık bir aydır aynı problem yaşanıyor. Ödeme, sorgulama veya belge işlemi yarıda kalıyor. Geçici bir işlem yapılmış olsa da problem yeniden ortaya çıktı. Hesap, uygulama veya ağ bağlantısının kontrol edilmesini talep ediyoruz.	Dijital Hizmet ve Uygulama Sorunları
Kablo kanalı çökmüş. Ana cadde üzerindeki çalışma alanında altyapı güzergâhında uzun bir çökme oluşmuş. Çalışma alanının kontrol edilerek gerekli güvenlik önlemlerinin alınmasını rica ediyoruz. Bu talep kanalizasyon tıkanıklığı değil, kazı alanının kapatılması ve üstyapı onarımıyla ilgilidir.	Kazı ve Altyapı
Kum havuzu temizlenmeli. Okul yakınındaki açık alanda çocukların kullandığı kum alanı kirli ve bakımsız. Oyun grubunun bakım ve onarımının yapılmasını talep ediyoruz. Çocuklar için yaralanma riski oluşuyor.	Park ve Oyun Alanı
İş yeri ruhsatında eksik belge bildirimi yapılmadı. Yeni açılacak ticari işletmede dosyanın hangi evrak nedeniyle beklediği açıklanmıyor. Ticari faaliyet başlatılamıyor veya denetlenemiyor. Ruhsatsız faaliyet varsa gerekli işlemin yapılmasını rica ediyoruz.	Ruhsat
Başvurumuz şehir merkezi ile mahalle arasındaki ulaşım bağlantısında görülen park alanının yetersiz olması hakkındadır. Sorun yaklaşık üç gündür devam ediyor. Öğrenci, yaşlı ve çalışanların günlük ulaşım planı aksıyor. Başvuru sahipleri sürecin hangi aşamada olduğunu öğrenemiyor. Vatandaşların güvenli ve düzenli ulaşım sağlayabilmesi için gerekli düzenlemenin yapılmasını rica ediyoruz.	Otopark
Tuşba ilçesinde farklı birimler arasında yönlendirme gereken başvuruda genel işlem bilgisi istenmesi. Son birkaç gündür aynı konu tekrar tekrar bildiriliyor. Doğru bilgiye veya muhataba ulaşılamadığı için süreç ilerlemiyor. Geçici bir işlem yapılmış olsa da problem yeniden ortaya çıktı. Bilgilendirme, duyuru veya koordinasyon eksikliğinin giderilmesini rica ediyoruz.	Bilgi Talebi
Tarla, bahçe ve hayvancılık faaliyetlerinin yürütüldüğü bölgede arıcılık desteği sorulması nedeniyle mağduriyet yaşanıyor. Üretim maliyeti artıyor ve ürün veya hayvan kaybı riski oluşuyor. Üretim ihtiyacının yerinde değerlendirilmesini ve uygun destek sağlanmasını istiyoruz.	Hayvancılık Desteği
İzinsiz hafriyat dökümü yapılıyor. Belirli saatlerde kamyonlar boş araziye atık getiriyor. İnşaat sahasının çevresinde bu nedenle sorun daha belirgin hâle geliyor. Yağmurla birlikte moloz çevreye dağılıyor. İzinsiz döküm yapanların tespit edilmesini rica ediyoruz.	Hafriyat Atığı
Yapı kullanma izin dosyası eksik. Mimari proje onayından sonra i̇skân başvurusunda hangi belgenin gerektiği açıklanmıyor. Yapı ruhsatı veya iskân dosyasının incelenmesini talep ediyoruz. İnşaata başlanamıyor veya bina resmî olarak kullanılamıyor.	Yapı Ruhsatı ve İskân
Özalp tarafında vatandaşın veya kurumun belediyeyle iletişim kurduğu süreçte birimin çalışma saatinin öğrenilmesi konusu çözüm bekliyor. Duyuru veya geri dönüş eksikliği katılım ve güveni azaltıyor. Bilgilendirme, duyuru veya koordinasyon eksikliğinin giderilmesini rica ediyoruz.	Bilgi Talebi
Muhtarlık tarafından resmi olarak iletilen konuda belediye ile muhtarlık arasında geri dönüş eksikliği nedeniyle mağduriyet yaşanıyor. Son günlerde sorun belirgin biçimde arttı. Muhtar vatandaşlara güncel bilgi veremiyor ve hizmet takibi aksıyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Resmi başvuruya geri dönüş yapılmasını ve çalışma planının paylaşılmasını rica ediyoruz.	Muhtar İletişimi
Vatandaşlar belediyenin kültür, eğitim, spor veya gençlik tesisinde gençlik kampı bilgisinin istenmesi konusunda destek talep ediyor. Bölgedeki sosyal, kültürel ve sportif imkânlar yetersiz kalıyor. İhtiyaca uygun faaliyet veya hizmetin planlanmasını talep ediyoruz.	Gençlik Hizmetleri
Vatandaşlar hak sahibi ve belediye arasında yürütülen süreçte kamulaştırmasız el atma iddiası konusunda destek talep ediyor. Sorun yaklaşık üç gündür devam ediyor. Farklı kayıtlar birbiriyle uyuşmadığı için hukuki endişe oluşuyor. Fotoğraf, belge veya konum bilgisi gerektiğinde paylaşılabilir. Başvurunun ilgili mevzuata göre sonuçlandırılmasını rica ediyoruz.	Kamulaştırma
Edremit ilçesinde defin öncesi belge ve koordinasyon aşamasında çevre duvarının zarar görmesi. Yeni mezar yeri tahsisi veya cenaze nakli istenmiyor; mevcut mezarlığın bakımı bildirilmektedir. Defin saati ve gerekli koordinasyon tamamlanamıyor. Mezarlık veya cenaze hizmetinin gecikmeden tamamlanmasını rica ediyoruz. Konunun doğru hizmet alanında değerlendirilerek başvuru sahibine geri dönüş yapılmasını rica ediyoruz.	Mezarlık Bakım ve Temizliği
Vatandaşlar mahalle muhtarlığı ile belediye arasındaki süreçte mahallede birden fazla hizmet ihtiyacı olması konusunda destek talep ediyor. Uzun süredir çözüm beklenmesine rağmen ilerleme sağlanmadı. Muhtar vatandaşlara güncel bilgi veremiyor ve hizmet takibi aksıyor. Fotoğraf, belge veya konum bilgisi gerektiğinde paylaşılabilir. Muhtarlık ve ilgili belediye birimi arasında koordinasyon kurulmasını istiyoruz.	Mahalle İhtiyaçları
Belediye veya özel mülke ilişkin resmi dosyada kira bedeli ve şartlarının sorulması nedeniyle mağduriyet yaşanıyor. Yaklaşık bir aydır aynı problem yaşanıyor. Farklı kayıtlar birbiriyle uyuşmadığı için hukuki endişe oluşuyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Başvurunun ilgili mevzuata göre sonuçlandırılmasını rica ediyoruz.	Kira ve Tahsis
Vatandaşlar resmi işlem tamamlanmadan önce parselin imar durumunun öğrenilmek istenmesi konusunda destek talep ediyor. Son günlerde sorun belirgin biçimde arttı. İşlemin hangi aşamada olduğu bilinmediği için başvuru ilerlemiyor. Daha önce sözlü bildirim yapıldı ancak kalıcı çözüm sağlanmadı. Kayıtların incelenerek işlemin mevzuata uygun biçimde sonuçlandırılmasını talep ediyoruz.	İmar Durumu
Vatandaşlar resmi işlem tamamlanmadan önce parsel koordinatının istenmesi konusunda destek talep ediyor. Sorun yaklaşık üç gündür devam ediyor. Belge ve kayıt belirsizliği nedeniyle vatandaş zaman ve hak kaybı yaşayabileceğini düşünüyor. İlk kez resmi başvuru yapılıyor ve açık bir yönlendirme bekleniyor. Başvuru sahibine resmi ve anlaşılır bir geri dönüş yapılmasını rica ediyoruz.	Harita ve Parsel
Özalp ilçesinde sağlık ve hijyen açısından müdahale gereken bölgede düzenli takip gereken kişinin hizmet alamaması. Uzun süredir çözüm beklenmesine rağmen ilerleme sağlanmadı. Vatandaş hangi hizmetten yararlanacağını bilemediği için mağduriyet yaşıyor. Daha önce sözlü bildirim yapıldı ancak kalıcı çözüm sağlanmadı. Sağlık ihtiyacının değerlendirilerek uygun hizmetin planlanmasını istiyoruz.	Evde Bakım
Tuşba tarafında taşınmazın mülkiyet, kullanım veya sözleşme sürecinde belediye mülküne zarar verilmesi. Tuşba tarafında taşınmazın mülkiyet, kullanım veya sözleşme sürecinde belediye mülküne zarar verilmesi konusu çözüm bekliyor. Taşınmazın satışı, kullanımı veya devri beklemek zorunda kalıyor. Sorunun ilgili ekiplerce yerinde incelenmesini ve kalıcı biçimde giderilmesini talep ediyoruz.	Belediye Taşınmazları
